# parameter_value, upper_error, lower_error
    5.0901,    0.0416,    0.0433
  126.1793,   13.1163,    9.8451
   36.0021,    3.5189,    4.0340
   91.9094,    4.7334,    5.6459
  188.2391,    8.6076,    9.5465
   39.1748,    8.4340,    6.6126
  163.5579,    3.0820,    3.3366
   16.6941,    4.2781,    5.9998
    4.8460,    0.5422,    0.5138
