# frequency, power_density
3.637577741221845429e+01 2.046614628205774693e+02
3.661213058029378686e+01 3.546562362847272709e+01
3.684848374836911944e+01 7.515239895713810370e+01
3.708483691644444491e+01 1.168993254213512216e+02
3.732119008451977038e+01 3.976045915098043224e+02
3.755754325259510296e+01 2.070343868205581828e+01
3.779389642067043553e+01 6.121563802329927739e+02
3.803024958874576100e+01 3.542147289098040233e+02
3.826660275682108647e+01 9.476559070698939991e+01
3.850295592489641905e+01 4.059577712754946219e+02
3.873930909297175162e+01 9.777414319201773196e+01
3.897566226104707710e+01 1.904142299839113548e+02
3.921201542912240967e+01 1.156459242132636973e+02
3.944836859719774225e+01 1.985946061364362265e+02
3.968472176527307482e+01 8.226972669885198286e+01
3.992107493334840029e+01 9.502914180521223386e+01
4.015742810142372576e+01 4.427027459847460023e+02
4.039378126949905834e+01 8.010750834910218146e+02
4.063013443757439092e+01 2.495263860950387311e+02
4.086648760564971639e+01 1.204057931635284717e+01
4.110284077372504186e+01 1.476046671528427225e+02
4.133919394180037443e+01 2.104555009701810491e+02
4.157554710987570701e+01 1.822550872187029825e+02
4.181190027795103248e+01 7.866456833160445683e+01
4.204825344602635795e+01 2.617903941019144920e+00
4.228460661410169052e+01 7.743182145747858236e+00
4.252095978217702310e+01 9.257482726623300096e+01
4.275731295025235568e+01 3.733668707669639275e+01
4.299366611832768115e+01 9.708081117425193440e+01
4.323001928640301372e+01 2.595323638403555719e+02
4.346637245447834630e+01 5.994642249263872458e+01
4.370272562255367177e+01 4.099367354817009357e+01
4.393907879062899724e+01 5.490508591869475197e+01
4.417543195870432982e+01 8.563389632713784749e+01
4.441178512677966239e+01 5.297959554575836592e+02
4.464813829485498786e+01 1.833038641927929291e+02
4.488449146293031333e+01 9.883011951751544188e+01
4.512084463100564591e+01 1.362558512062656462e+02
4.535719779908097848e+01 2.264881491066018668e+02
4.559355096715630395e+01 3.794220103378784756e+02
4.582990413523163653e+01 1.163710906746226357e+02
4.606625730330696911e+01 1.166943416719059279e+01
4.630261047138230168e+01 4.821620824303065689e+01
4.653896363945762715e+01 5.461561556849624566e+01
4.677531680753295262e+01 1.406673299906717922e+01
4.701166997560828520e+01 5.613019488239645938e+01
4.724802314368361777e+01 1.333412048435197050e+01
4.748437631175894325e+01 4.060431607841687196e+01
4.772072947983426872e+01 1.438462854417142580e+02
4.795708264790960129e+01 1.691129021372469197e+02
4.819343581598493387e+01 1.595080118134148073e+00
4.842978898406025934e+01 7.744910612792371296e+01
4.866614215213558481e+01 1.758213259271531115e+02
4.890249532021091738e+01 4.704550543244353094e+02
4.913884848828624996e+01 1.213771858479547916e+02
4.937520165636158254e+01 9.404325023991302146e+01
4.961155482443690801e+01 3.029489542274623091e+02
4.984790799251224058e+01 2.010257044820030501e+02
5.008426116058757316e+01 9.063621413785976699e+01
