# frequency, psd_without_bg
4.275731295025235568e+01 2.248356869285151327e-01
4.299366611832768115e+01 5.925805101619596726e-01
4.323001928640301372e+01 1.605734832521202415e+00
4.346637245447834630e+01 3.759208234399337711e-01
4.370272562255367177e+01 2.605444892780495736e-01
4.393907879062899724e+01 3.536628188627089497e-01
4.417543195870432982e+01 5.590013796951067704e-01
4.441178512677966239e+01 3.504640730232511103e+00
4.464813829485498786e+01 1.228712649134542589e+00
4.488449146293031333e+01 6.712539757161807286e-01
4.512084463100564591e+01 9.376600926733008601e-01
4.535719779908097848e+01 1.579069598643080274e+00
4.559355096715630395e+01 2.679881431669096870e+00
4.582990413523163653e+01 8.326187252258104854e-01
4.606625730330696911e+01 8.457239793954497709e-02
4.630261047138230168e+01 3.539309213870611148e-01
4.653896363945762715e+01 4.060287798933913117e-01
4.677531680753295262e+01 1.059045992774619305e-01
4.701166997560828520e+01 4.279233122231936304e-01
4.724802314368361777e+01 1.029311964194172951e-01
4.748437631175894325e+01 3.173458056621430434e-01
4.772072947983426872e+01 1.138154108445547763e+00
4.795708264790960129e+01 1.354516381504382805e+00
4.819343581598493387e+01 1.293176203603230677e-02
4.842978898406025934e+01 6.355083337310185598e-01
4.866614215213558481e+01 1.460048852984383361e+00
4.890249532021091738e+01 3.953354559510460664e+00
4.913884848828624996e+01 1.032040509366409342e+00
4.937520165636158254e+01 8.090197512537360414e-01
4.961155482443690801e+01 2.636525981705525101e+00
4.984790799251224058e+01 1.769718306193988955e+00
5.008426116058757316e+01 8.070541923326943756e-01
5.032061432866289863e+01 3.128356441606531257e-01
5.055696749673822410e+01 6.527722308488310698e-01
5.079332066481355668e+01 1.008621763629804491e+00
5.102967383288888925e+01 5.511619332149404471e-01
5.126602700096421472e+01 5.029348379843833206e-01
5.150238016903954019e+01 1.205341464236702853e+00
5.173873333711487277e+01 9.686432915081517603e-01
5.197508650519020534e+01 5.157514490333138246e-01
5.221143967326553081e+01 5.507079651034793022e-01
5.244779284134085628e+01 1.893137326056515635e+00
5.268414600941619597e+01 3.174814174529415833e+00
5.292049917749152854e+01 1.734222490437764996e+00
5.315685234556685401e+01 4.154734484769606051e-01
5.339320551364217948e+01 6.898817633164529006e-01
5.362955868171751206e+01 1.004505074630593464e+00
5.386591184979284463e+01 1.344500706373419341e-01
5.410226501786817010e+01 6.139751437938556489e-01
5.433861818594349558e+01 1.769318970533730218e+00
5.457497135401882105e+01 1.241616970180531299e+00
5.481132452209416073e+01 2.680409702951723760e-01
5.504767769016948620e+01 1.232191429454664533e+00
5.528403085824481167e+01 1.467710799748748185e+00
5.552038402632013714e+01 1.407069464126213587e+00
